fileName	sampleID	read	Rikenellaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Bacteroidales_incertae_sedis	Flavobacteriaceae	Sphingobacteriaceae	Chitinophagaceae	Cyclobacteriaceae	Cytophagaceae	Lachnospiraceae	Clostridiaceae 1	Peptostreptococcaceae	Ruminococcaceae	Eubacteriaceae	Clostridiales_Incertae Sedis XI	Peptococcaceae 1	Clostridiales_Incertae Sedis XIII	Clostridiales_Incertae Sedis XII	Defluviitaleaceae	Streptococcaceae	Enterococcaceae	Carnobacteriaceae	Lactobacillaceae	Aerococcaceae	Bacillales_Incertae Sedis XI	Paenibacillaceae 1	Staphylococcaceae	Bacillaceae 1	Planococcaceae	Bacillales_Incertae Sedis XII	Bacillaceae 2	Erysipelotrichaceae	Veillonellaceae	Acidaminococcaceae	Verrucomicrobiaceae	Coriobacteriaceae	Corynebacteriaceae	Nocardiaceae	Actinomycetaceae	Micrococcaceae	Microbacteriaceae	Brevibacteriaceae	Dermacoccaceae	Intrasporangiaceae	Dermabacteraceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Geodermatophilaceae	Bifidobacteriaceae	Patulibacteraceae	Nitriliruptoraceae	Spirochaetaceae	Fusobacteriaceae	Leptotrichiaceae	Campylobacteraceae	Pasteurellaceae	Enterobacteriaceae	Halomonadaceae	Oceanospirillaceae	Cardiobacteriaceae	Pseudomonadaceae	Moraxellaceae	Vibrionaceae	Xanthomonadaceae	Idiomarinaceae	Shewanellaceae	Chromatiaceae	Aeromonadaceae	Coxiellaceae	Neisseriaceae	Burkholderiaceae	Oxalobacteraceae	Comamonadaceae	Sutterellaceae	Burkholderiales_incertae_sedis	Alcaligenaceae	Methylophilaceae	Desulfovibrionaceae	Bdellovibrionaceae	Bacteriovoracaceae	Myxococcaceae	Polyangiaceae	Desulfobulbaceae	Sphingomonadaceae	Erythrobacteraceae	Methylobacteriaceae	Phyllobacteriaceae	Bradyrhizobiaceae	Hyphomicrobiaceae	Brucellaceae	Rhizobiaceae	Beijerinckiaceae	Rhizobiales_incertae_sedis	Caulobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Acetobacteraceae	Chloroplast	Synergistaceae	Mycoplasmataceae	Deinococcaceae	Thermotogaceae	Planctomycetaceae	Victivallaceae	Pyrodictiaceae
203_R1.fasta	203	1	2182	27076	0	1	0	5	5	0	0	0	2303	21	61	23	0	0	0	2	0	0	2842	537	26	0	4	1	1	0	0	0	0	0	3	1	0	33677	26	3	0	7	1	6	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	6	39	0	0	64	0	0	2	5	0	0	0	0	8	0	792	79	0	0	0	0	0	2	1	0	0	0	1	0	0	0	3	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
203_R2.fasta	203	2	2141	25642	0	1	0	5	5	0	0	0	2301	20	71	29	0	0	0	0	0	0	2174	420	25	0	3	1	1	0	0	0	0	0	3	1	0	33742	28	1	0	5	1	5	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	2	65	0	0	63	0	0	2	5	0	0	0	0	8	0	773	79	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
204_R1.fasta	204	1	0	6	11	4	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	80621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204_R2.fasta	204	2	0	5	12	4	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	79674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205_R1.fasta	205	1	0	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205_R2.fasta	205	2	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20_R1.fasta	20	1	457	11739	2551	0	0	0	0	0	0	0	10084	2	163	431	161	0	0	0	0	0	3564	20	0	0	0	0	0	0	0	0	0	0	1452	0	0	2325	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20_R2.fasta	20	2	453	10927	2508	1	0	0	0	0	0	0	10266	1	153	434	160	0	0	0	0	0	2892	16	0	0	0	0	0	0	0	0	0	0	1532	0	0	2319	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21_R1.fasta	21	1	600	11336	3	0	0	0	0	0	0	0	5879	705	900	355	0	0	0	58	0	0	1721	258	1	0	1	1	0	1	0	0	0	0	15	2	0	2926	118	0	0	0	1	0	0	0	0	0	0	0	0	0	59	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21_R2.fasta	21	2	592	10771	2	0	0	0	0	0	0	0	5899	698	988	354	0	0	0	0	0	0	1349	200	1	0	0	1	0	0	0	0	0	0	15	2	0	2919	117	0	0	0	1	0	0	0	0	0	0	0	0	0	48	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_R1.fasta	22	1	19	8918	847	2	0	0	0	0	0	0	9048	125	1092	190	0	0	0	0	0	0	8391	49	0	0	0	0	0	0	0	0	0	0	967	0	0	805	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_R2.fasta	22	2	19	8448	843	1	0	0	0	0	0	0	9079	110	1033	187	0	0	0	0	0	0	6830	45	0	0	0	0	0	0	0	0	0	0	1194	0	0	801	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23_R1.fasta	23	1	149	12252	2246	6	0	0	0	0	0	0	2742	38	411	381	0	0	0	0	0	0	6610	15	1	0	0	0	0	0	0	0	0	0	923	4	0	1117	60	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	373	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23_R2.fasta	23	2	146	11636	2220	6	0	0	0	0	0	0	5895	30	379	387	0	0	0	0	0	0	5363	14	1	0	0	0	0	0	0	0	0	0	1266	4	0	1111	60	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	366	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24_R1.fasta	24	1	121	10398	2428	1	0	0	0	0	0	0	5949	1	195	1263	112	0	0	0	0	0	983	12	1	0	0	0	0	0	0	0	0	0	896	1	0	1977	48	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	84	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
