fileName	sampleID	read	Rikenellaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Bacteroidales_incertae_sedis	Flavobacteriaceae	Sphingobacteriaceae	Chitinophagaceae	Cyclobacteriaceae	Cytophagaceae	Lachnospiraceae	Clostridiaceae.1	Peptostreptococcaceae	Ruminococcaceae	Eubacteriaceae	Clostridiales_Incertae.Sedis.XI	Peptococcaceae.1	Clostridiales_Incertae.Sedis.XIII	Clostridiales_Incertae.Sedis.XII	Defluviitaleaceae	Streptococcaceae	Enterococcaceae	Carnobacteriaceae	Lactobacillaceae	Aerococcaceae	Bacillales_Incertae.Sedis.XI	Paenibacillaceae.1	Staphylococcaceae	Bacillaceae.1	Planococcaceae	Bacillales_Incertae.Sedis.XII	Bacillaceae.2	Erysipelotrichaceae	Veillonellaceae	Acidaminococcaceae	Verrucomicrobiaceae	Coriobacteriaceae	Corynebacteriaceae	Nocardiaceae	Actinomycetaceae	Micrococcaceae	Microbacteriaceae	Brevibacteriaceae	Dermacoccaceae	Intrasporangiaceae	Dermabacteraceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Geodermatophilaceae	Bifidobacteriaceae	Patulibacteraceae	Nitriliruptoraceae	Spirochaetaceae	Fusobacteriaceae	Leptotrichiaceae	Campylobacteraceae	Pasteurellaceae	Enterobacteriaceae	Halomonadaceae	Oceanospirillaceae	Cardiobacteriaceae	Pseudomonadaceae	Moraxellaceae	Vibrionaceae	Xanthomonadaceae	Idiomarinaceae	Shewanellaceae	Chromatiaceae	Aeromonadaceae	Coxiellaceae	Neisseriaceae	Burkholderiaceae	Oxalobacteraceae	Comamonadaceae	Sutterellaceae	Burkholderiales_incertae_sedis	Alcaligenaceae	Methylophilaceae	Desulfovibrionaceae	Bdellovibrionaceae	Bacteriovoracaceae	Myxococcaceae	Polyangiaceae	Desulfobulbaceae	Sphingomonadaceae	Erythrobacteraceae	Methylobacteriaceae	Phyllobacteriaceae	Bradyrhizobiaceae	Hyphomicrobiaceae	Brucellaceae	Rhizobiaceae	Beijerinckiaceae	Rhizobiales_incertae_sedis	Caulobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Acetobacteraceae	Chloroplast	Synergistaceae	Mycoplasmataceae	Deinococcaceae	Thermotogaceae	Planctomycetaceae	Victivallaceae	Pyrodictiaceae
175_R1.fasta	175	1	301	11035	2314	0	0	0	0	0	0	0	10449	0	516	703	168	0	0	0	0	0	5994	772	8	16	0	0	0	0	0	0	0	0	1901	0	0	1451	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	15	0	0	2	0	0	0	0	0	0	0	0	33	0	241	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175_R2.fasta	175	2	298	10161	2295	0	0	0	0	0	0	0	10583	0	473	708	173	0	0	0	0	0	4835	556	7	11	1	0	0	0	0	0	0	0	1774	0	0	1449	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	10	0	0	2	0	0	0	0	0	0	0	0	31	0	237	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176_R1.fasta	176	1	221	7270	1200	0	0	0	0	0	0	0	5378	27	247	493	54	0	0	0	0	0	919	3050	0	0	2	0	0	0	0	0	0	0	393	0	0	2546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	27	0	0	1	0	0	0	0	0	0	0	0	0	0	311	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
176_R2.fasta	176	2	217	6727	1193	0	0	0	0	0	0	0	5429	9	221	502	54	0	0	0	0	0	705	2076	0	0	0	0	0	0	0	0	0	0	421	0	0	2546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	40	0	0	0	0	0	0	0	0	0	0	0	0	0	308	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0
177_R1.fasta	177	1	254	2567	3370	0	0	0	0	0	0	0	13257	1091	665	186	14	0	0	0	0	0	1519	1564	76	0	0	0	0	0	0	0	0	0	829	0	0	1393	65	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	122	0	0	61	0	0	35	0	0	0	4	0	0	0	1178	135	0	0	0	0	1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
177_R2.fasta	177	2	249	2419	3348	0	0	0	0	0	0	0	13461	1074	611	271	13	0	0	0	0	0	1139	1125	76	0	0	0	0	0	0	0	0	0	866	0	0	1395	64	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	192	0	0	63	0	0	33	0	0	0	1	0	0	0	1166	135	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
178_R1.fasta	178	1	0	7797	1916	5	0	12	0	0	0	0	5362	0	698	256	106	2	0	0	0	0	15012	137	0	0	0	0	0	0	0	0	0	0	605	4	0	455	47	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1371	51	0	0	196	0	0	0	0	0	0	0	0	0	0	819	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178_R2.fasta	178	2	0	7165	1888	6	0	11	0	0	0	0	5328	0	651	256	109	2	0	0	0	0	11893	91	0	0	0	0	0	0	0	0	0	0	716	3	0	455	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1347	76	0	0	200	0	0	0	0	0	0	0	0	0	0	795	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179_R1.fasta	179	1	1	2980	813	0	0	0	0	0	0	0	2744	1	0	212	0	0	0	0	0	0	1055	170	0	0	0	0	0	0	0	0	0	0	77	124	0	3	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	12	27	44	0	0	0	0	0	0	0	0	0	0	0	0	0	542	1	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
179_R2.fasta	179	2	0	2759	789	0	0	0	0	0	0	0	2665	0	0	212	0	0	0	0	0	0	838	126	0	0	0	0	0	0	0	0	0	0	31	121	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	12	2	36	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
180_R1.fasta	180	1	1502	8670	6575	8	0	10	4	0	0	0	25439	7	1030	549	54	0	0	0	0	0	42	288	36	0	0	0	0	0	0	0	0	0	2650	6	0	2764	7	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	2	0	1	56	0	0	72	2	0	4	3	0	0	0	0	3	0	831	50	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
180_R2.fasta	180	2	1469	7837	6474	8	0	10	4	0	0	0	26831	6	836	516	54	0	0	0	0	0	31	192	26	0	0	0	0	0	0	0	0	0	3168	6	0	2754	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	1	0	1	76	0	0	71	2	0	2	3	0	0	0	0	2	0	778	45	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
